0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,3,22,40,59,77,94,119,135,158,188,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1,2,14,32,51,69,93,117,140,164,188,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
1,2,21,41,60,77,101,125,150,167,191,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
1,8,21,40,58,75,98,123,148,171,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
1,8,28,46,63,82,106,130,155,178,209,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
1,3,15,34,58,76,93,123,147,171,202,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232
1,8,26,45,62,81,98,122,146,171,200,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232
1,8,20,38,57,82,106,130,155,178,207,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
1,2,14,33,51,70,88,113,137,161,185,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
1,8,26,44,63,81,106,124,148,173,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
1,9,21,40,58,70,88,112,143,167,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
1,9,22,45,65,83,106,125,149,172,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
1,8,26,45,64,77,96,120,144,167,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
1,2,21,38,56,74,98,122,152,177,207,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
1,9,27,46,64,82,105,129,154,172,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
1,9,28,46,65,77,94,119,137,161,184,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
1,2,14,33,52,71,95,126,144,168,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
1,8,21,41,58,77,101,124,148,171,202,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
1,8,26,45,64,76,101,126,150,168,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
1,3,16,39,50,69,88,112,141,166,191,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227
1,2,15,34,59,70,87,111,135,159,184,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
1,9,21,40,57,74,98,122,148,173,203,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232
1,9,23,47,59,84,96,126,149,173,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
1,8,20,39,57,75,99,123,147,176,206,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
1,10,22,41,59,78,97,126,150,179,203,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
1,8,20,39,57,76,93,123,147,171,201,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
1,9,21,39,62,81,104,123,154,178,207,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236
1,8,26,46,57,76,99,124,148,173,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
1,8,20,38,56,75,99,124,149,173,203,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
