0,1,2,3,4,5,6,7,8,9,10
0,103.922,71.347,4.184,67.036,102.328,92.701,90.311,99.49,74.43,82.381
103.922,0,33.803,99.744,107.104,76.967,63.659,89.737,35.334,41.476,39.043
71.347,33.803,0,67.216,77.535,63.442,48.702,68.587,47.05,31.812,36.558
4.184,99.744,67.216,0,66.216,99.503,89.541,88.123,95.497,70.423,78.399
67.036,107.104,77.535,66.216,0,55.813,56.049,35.249,123.719,102.881,110.08
102.328,76.967,63.442,99.503,55.813,0,14.758,21.546,106.476,95.246,99.443
92.701,63.659,48.702,89.541,56.049,14.758,0,27.561,92.021,80.499,84.697
90.311,89.737,68.587,88.123,35.249,21.546,27.561,0,114.909,99.471,105.028
99.49,35.334,47.05,95.497,123.719,106.476,92.021,114.909,0,25.087,17.122
74.43,41.476,31.812,70.423,102.881,95.246,80.499,99.471,25.087,0,8.114
82.381,39.043,36.558,78.399,110.08,99.443,84.697,105.028,17.122,8.114,0
