instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,obj,CI,time
,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,664943.114,44490.27038,35.16974688
1,0,0,0,1,3,10,0.5,0,911711.2475,61001.12785,30.66844487
1,0,0,0,1,3,10,5,0,907464.5696,60716.98949,30.57361197
1,1,0,0,1,3,10,2,2,726648.2544,48618.86172,31.44270086
1,1,0,0,1,3,10,5,2,726333.6857,48597.81443,31.12961507
1,1,0,0,1,3,10,10,2,725809.4045,48562.73562,31.0319581
2,0,0,0,1,3,10,0,0,574932.2161,44467.87086,37.23124194
2,0,0,0,1,3,10,0.5,0,829434.7265,63898.30541,36.56083894
2,0,0,0,1,3,10,5,0,825133.7421,63569.39709,36.1769619
2,1,0,0,1,3,10,2,2,616049.9303,47398.42327,36.39064717
2,1,0,0,1,3,10,5,2,615777.9435,47377.39462,37.64516521
2,1,0,0,1,3,10,10,2,615324.6323,47342.34689,36.21167493

1,0,0,0,1,3,10,0.0,0,664943.1140127358,44490.2703791511,30.43938708305359
1,0,0,0,1,3,10,0.5,0,911711.2475324428,61001.12784934358,30.804008960723877
1,0,0,0,1,3,10,5.0,0,907464.5696372765,60716.98948654602,30.751258850097656
1,1,0,0,1,3,10,2.0,2,726648.2544232032,48618.86171695485,30.88473391532898
1,1,0,0,1,3,10,5.0,2,726333.6856902279,48597.81443082169,30.86120295524597
1,1,0,0,1,3,10,10.0,2,725809.4044686024,48562.735620599706,31.454272985458374
2,0,0,0,1,3,10,0.0,0,574932.2161341731,44467.87085667171,37.292964935302734
2,0,0,0,1,3,10,0.5,0,829434.7264807489,63898.30540933169,36.82510781288147
2,0,0,0,1,3,10,5.0,0,825133.7421125278,63569.39708813734,37.10740303993225
2,1,0,0,1,3,10,2.0,2,616049.9302542004,47398.423274216475,37.415184020996094
2,1,0,0,1,3,10,5.0,2,615777.943530878,47377.39462452382,37.4139142036438
2,1,0,0,1,3,10,10.0,2,615324.6323253411,47342.346890910645,36.80619788169861
