instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,obj,CI,train_time,test_time
,,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,1527769.59,115943.2795,45.19264698,3.754837751
1,0,0,0,1,3,10,0.5,0,3248682.788,161884.9993,104.1229961,4.163527966
1,0,0,0,1,3,10,5,0,3757747.525,135219.5654,43.08665609,3.346001863
1,1,0,0,1,3,10,2,2,1951771.044,121177.8259,49.17012787,3.272966146
1,1,0,0,1,3,10,5,2,2203615.23,138815.5153,83.25715923,3.776997805
1,1,0,0,1,3,10,10,2,2290304.508,153168.2234,92.11004019,3.862126827
2,0,0,0,1,3,10,0,0,996936.753,204686.9079,21.5480237,3.529341936
2,0,0,0,1,3,10,0.5,0,2630087.525,278060.8505,22.69633675,3.607133865
2,0,0,0,1,3,10,5,0,3105556.154,238812.8393,29.67497897,3.83874011
2,1,0,0,1,3,10,2,2,1436285.076,209473.7156,32.62538004,3.870836973
2,1,0,0,1,3,10,5,2,1681531.189,247151.219,21.38721514,3.638253212
2,1,0,0,1,3,10,10,2,1789807.259,276051.2525,24.1408329,3.586987019

1,0,0,0,1,3,10,0.0,0,1527452.0969759698,115954.50706916442,37.03215003013611,3.110898971557617
1,0,0,0,1,3,10,0.5,0,3248579.412424281,161889.4853886594,72.18039393424988,3.8763389587402344
1,0,0,0,1,3,10,5.0,0,3719373.9599840236,107190.40366781875,49.68365406990051,3.4087469577789307
1,1,0,0,1,3,10,2.0,2,1952512.301301624,121277.93990420573,96.79586005210876,4.026029825210571
1,1,0,0,1,3,10,5.0,2,2201715.6859842353,138621.98425045307,55.546526193618774,3.391312837600708
1,1,0,0,1,3,10,10.0,2,2288799.8752523265,152438.38896712335,67.92881202697754,3.5738890171051025
2,0,0,0,1,3,10,0.0,0,996936.7529967848,204686.90786528972,22.061307907104492,3.5589447021484375
2,0,0,0,1,3,10,0.5,0,2630095.0573404953,278060.73953170795,35.91636776924133,3.8729889392852783
2,0,0,0,1,3,10,5.0,0,3105394.775487938,238814.12810001988,25.33131980895996,3.7994749546051025
2,1,0,0,1,3,10,2.0,2,1440459.5628894654,209978.19160508947,32.789777755737305,3.871581792831421
2,1,0,0,1,3,10,5.0,2,1678638.9879630366,246654.54769850173,30.76157021522522,3.8823111057281494
2,1,0,0,1,3,10,10.0,2,1789069.3794345127,275734.54114982556,45.95265793800354,4.134190082550049
