instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,66049.38788,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,
1,0,0,0,1,3,10,0.5,0,114250.2594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
1,0,0,0,1,3,10,5,0,114250.2594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
1,1,0,0,1,3,10,2,2,0,0,0,0,0,0,0,0,59271.91317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,
1,1,0,0,1,3,10,5,2,114250.2594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
1,1,0,0,1,3,10,10,2,114250.2594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
2,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,55903.50708,12647.86391,0,0,0,0,0,0,0,0,0,0,0.68,0.32,0,0,0,0,0,0,0,0,0,0,0.68,0.32,0
2,0,0,0,1,3,10,0.5,0,106593.2247,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,3,10,5,0,106593.1916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,3,10,2,2,0,0,0,0,0,0,0,0,75339.09307,1030.544889,2934.75796,0,0,0,0,0,0.013,0.113,0.005,0.146,0.571,0.087,0.065,0,0,0,0,0,0.013,0.113,0.005,0.146,0.571,0.087,0.065,0
2,1,0,0,1,3,10,5,2,0,0,0,0,0,0,0,0,84475.92332,0,0,0,0,0,0,0,0.013,0.157,0.028,0.191,0.611,0,0,0,0,0,0,0,0.013,0.157,0.028,0.191,0.611,0,0,0
2,1,0,0,1,3,10,10,2,0,0,0,0,0,0,0,0,84475.92332,0,0,0,0,0,0,0,0.013,0.157,0.028,0.191,0.611,0,0,0,0,0,0,0,0.013,0.157,0.028,0.191,0.611,0,0,01,0,0,0,1,3,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66049.38787830317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,1,3,10,0.5,0,114250.25935634559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,1,3,10,5.0,0,114250.25935634559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,3,10,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59271.913174397916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
