instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,obj,CI,train_time,test_time
,,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,1519951.817,111084.4805,10.59125996,1.967150927
1,0,0,0,1,3,10,0.5,0,3671864.927,137542.1284,9.531275749,2.146644115
1,0,0,0,1,3,10,5,0,3667657.346,137419.9699,9.502879143,2.134382963
1,1,0,0,1,3,10,2,2,2821830.345,157331.3317,9.356688738,1.757569075
1,1,0,0,1,3,10,5,2,3671916.873,137543.6393,9.523136854,2.132374048
1,1,0,0,1,3,10,10,2,3671397.418,137528.5332,9.411196709,2.137606859
2,0,0,0,1,3,10,0,0,1691624.566,191997.1983,11.65878177,1.715087891
2,0,0,0,1,3,10,0.5,0,3436549.842,110736.3115,11.03790808,2.171705008
2,0,0,0,1,3,10,5,0,3432261.186,110672.4121,9.013149023,2.156843901
2,1,0,0,1,3,10,2,2,2431000.367,304497.0996,268.6250827,1.850991249
2,1,0,0,1,3,10,5,2,2313294.916,246015.9295,273.2894158,1.828249693
2,1,0,0,1,3,10,10,2,2312848.202,246007.7759,267.2136691,1.916501045

1,0,0,0,1,3,10,0.0,0,1519951.8172076012,111084.4804940254,9.59033203125,1.8963961601257324
1,0,0,0,1,3,10,0.5,0,3671864.9270989187,137542.12839530734,9.502372026443481,2.2228050231933594
1,0,0,0,1,3,10,5.0,0,3667657.3455831404,137419.96989714075,9.332774877548218,2.214771270751953
1,1,0,0,1,3,10,2.0,2,2821830.344531496,157331.33172788285,9.557530879974365,1.929401159286499
1,1,0,0,1,3,10,5.0,2,3671916.872549731,137543.63931697095,9.427458047866821,2.22749400138855
1,1,0,0,1,3,10,10.0,2,3671397.41804161,137528.53316236706,9.338046789169312,2.2353012561798096
2,0,0,0,1,3,10,0.0,0,1691624.5663567027,191997.19828639482,11.575814247131348,1.8100008964538574
2,0,0,0,1,3,10,0.5,0,3436549.841783953,110736.31146596652,10.997967958450317,2.284700870513916
2,0,0,0,1,3,10,5.0,0,3432261.1859410848,110672.41212733882,9.090378999710083,2.283172845840454
2,1,0,0,1,3,10,2.0,2,2431000.3674635594,304497.0995530244,270.2199800014496,1.91013503074646
2,1,0,0,1,3,10,5.0,2,2313294.9155265414,246015.9295014385,273.23823499679565,1.9377949237823486
