instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,obj,CI,time
,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,1519951.817,111084.4805,396.3724501
1,0,0,0,1,3,10,0.5,0,3700983.434,34171.61797,271.6317132
1,0,0,0,1,3,10,5,0,3665116.806,136356.718,263.061481
1,1,0,0,1,3,10,2,2,3483960.062,22820.79354,281.5260828
1,1,0,0,1,3,10,5,2,3558574.232,64760.09605,267.141633
1,1,0,0,1,3,10,10,2,3638442.694,97283.17864,262.5187819
2,0,0,0,1,3,10,0,0,1666964.732,179926.099,646.9888477
2,0,0,0,1,3,10,0.5,0,3441927.156,85788.65523,324.8628752
2,0,0,0,1,3,10,5,0,3432261.186,110672.4121,320.5717359
2,1,0,0,1,3,10,2,2,2122045.43,137775.5794,14838.03105
2,1,0,0,1,3,10,5,2,2307132.83,225699.8382,15121.01782
2,1,0,0,1,3,10,10,2,2318862.123,245491.231,14757.64524

1,0,0,0,1,3,10,0.0,0,1519951.8172076012,111084.48049402547,356.60738730430603
1,0,0,0,1,3,10,0.5,0,3700983.4339630287,34171.6179723701,270.63375782966614
1,0,0,0,1,3,10,5.0,0,3665116.8055355405,136356.71798854606,257.6188759803772
1,1,0,0,1,3,10,2.0,2,3483960.0621548966,22820.79353732387,284.87397718429565
1,1,0,0,1,3,10,5.0,2,3558574.231914401,64760.096053105655,265.2607970237732
1,1,0,0,1,3,10,10.0,2,3638442.6943653715,97283.17863944967,259.01176500320435
2,0,0,0,1,3,10,0.0,0,1666964.7322533273,179926.09897362936,643.8151228427887
2,0,0,0,1,3,10,0.5,0,3441927.156177573,85788.6552250442,326.25986909866333
2,0,0,0,1,3,10,5.0,0,3432261.1859410866,110672.41212733898,325.070353269577
2,1,0,0,1,3,10,2.0,2,2122045.4295475916,137775.57944117882,14832.963643074036
2,1,0,0,1,3,10,5.0,2,2307132.8300001514,225699.83820661018,15101.19426727295
