instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,128618.4157,0,,
1,0,0,0,1,3,10,0.5,0,114250.2594,0,0,0,0,0,0,0,0,0,,
1,0,0,0,1,3,10,5,0,114250.2594,0,0,0,0,0,0,0,0,0,,
1,1,0,0,1,3,10,2,2,114250.2594,0,0,0,0,0,0,0,0,0,,
1,1,0,0,1,3,10,5,2,114250.2594,0,0,0,0,0,0,0,0,0,,
1,1,0,0,1,3,10,10,2,114250.2594,0,0,0,0,0,0,0,0,0,,
2,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,106593.2284,0,0
2,0,0,0,1,3,10,0.5,0,106593.2247,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,3,10,5,0,106593.1916,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,3,10,2,2,0,0,0,0,0,0,0,0,106378.8273,0,0,0
2,1,0,0,1,3,10,5,2,0,0,0,0,0,0,0,0,106378.8273,0,0,0
2,1,0,0,1,3,10,10,2,0,0,0,0,0,0,0,0,106378.8273,0,0,0

