instance_option,cost_structure,dissipate_option,absorbing_option,k_init,Ni,Nj,tau,safe_time,obj,CI,train_time,test_time
,,,,,,,,,,,,
1,0,0,0,1,3,10,0,0,2658097.109,12527.6318,0.051069975,0.189024925
1,0,0,0,1,3,10,0.5,0,3671864.927,137542.1284,0.047387123,0.220956802
1,0,0,0,1,3,10,5,0,3667657.346,137419.9699,0.046748877,0.220368862
1,1,0,0,1,3,10,2,2,3672228.545,137552.7063,0.04632926,0.217699766
1,1,0,0,1,3,10,5,2,3671916.873,137543.6393,0.046355963,0.220297098
1,1,0,0,1,3,10,10,2,3671397.418,137528.5332,0.047694921,0.222477913
2,0,0,0,1,3,10,0,0,2362566.617,110743.4684,0.066243649,0.194024801
2,0,0,0,1,3,10,0.5,0,3436549.842,110736.3115,0.065415859,0.191607952
2,0,0,0,1,3,10,5,0,3432261.186,110672.4121,0.066266775,0.192736864
2,1,0,0,1,3,10,2,2,2477719.827,111402.6058,3.17980814,0.591457129
2,1,0,0,1,3,10,5,2,2477448.649,111398.6906,3.246114016,0.590215921
2,1,0,0,1,3,10,10,2,2476996.686,111392.1738,3.188534737,0.583677053

1,0,0,0,1,3,10,0.0,0,2658097.1090262737,12527.631799122466,0.04642486572265625,0.21983122825622559
1,0,0,0,1,3,10,0.5,0,3671864.9270989196,137542.12839530729,0.04488801956176758,0.21942996978759766
1,0,0,0,1,3,10,5.0,0,3667657.345583141,137419.96989714095,0.04487180709838867,0.21607494354248047
1,1,0,0,1,3,10,2.0,2,3672228.545254603,137552.7062756479,0.04586291313171387,0.22181200981140137
1,1,0,0,1,3,10,5.0,2,3671916.87254973,137543.63931697083,0.04630708694458008,0.21831703186035156
1,1,0,0,1,3,10,10.0,2,3671397.4180416125,137528.53316236712,0.044631004333496094,0.21821808815002441
2,0,0,0,1,3,10,0.0,0,2362566.6171026155,110743.46842683687,0.06560897827148438,0.1961970329284668
2,0,0,0,1,3,10,0.5,0,3436549.8417839515,110736.31146596675,0.06491494178771973,0.19226694107055664
2,0,0,0,1,3,10,5.0,0,3432261.1859410834,110672.41212733895,0.06567692756652832,0.1943509578704834
2,1,0,0,1,3,10,2.0,2,2477719.827389526,111402.60577003854,3.185850143432617,0.592703104019165
2,1,0,0,1,3,10,5.0,2,2477448.64945734,111398.69064088863,3.264862060546875,0.5881657600402832
2,1,0,0,1,3,10,10.0,2,2476996.686237024,111392.17380662428,3.225682020187378,0.585036039352417
